date,salon_name,salon_id,task,items_changed,published,session_start,session_end,tokens_effective,usage_session_pct_delta,usage_weekly_pct_delta,notes
2026-09-02,都賀駅前整骨院,H000523612,salonboard-operator動作検証(クーポン一覧閲覧のみ),0,no,,,,,,読み取り専用タスクのためSKILL.md例外規定によりtokens/使用量欄は記録省略
2026-09-02,複数院(なかもず/さかいし/ながよし/六甲道/甲南山手),H000739483;H000739485;H000739486;H000739488;H000739489,口コミクーポン掲載状況の確認(読み取りのみ),0,no,,,,,,5院とも既に掲載中を確認。編集なし。読み取り専用のため使用量欄省略
2026-09-02,複数院(姿勢堂各店+ひなた),H000440977;H000474283;H000564927;H000657363;H000530725;H000676146;H000583657,口コミクーポン掲載状況の確認(読み取りのみ),0,no,,,,,,7院中6院は既に掲載中。段原鍼灸接骨院(H000657363)のみクーポン自体が未登録と判明
2026-09-02,姿勢堂 段原鍼灸接骨院,H000657363,口コミクーポン「<既存様限定>口コミ投稿頂ける方」を新規作成し登録+反映申請,1,yes,,2026-09-02 12:47,,,,他5院と同一内容(クーポン名/内容/提示条件/利用条件/カテゴリ/価格0円/所要30分)で新規作成。写真はユーザー提供ファイルをアップロード。ユーザー確認後、掲載管理TOPで反映申請を実施。ステータス「反映待ち」(申請2026/09/02 12:47、反映まで通常15分程度)。使用量スクショは今回未取得のため該当欄は空欄(ユーザー承認済み)
2026-09-10,本八幡南口鍼灸接骨院,H000822241,あはき柔整プランページブラッシュアップ(ジャンル追加/サブコピー/一言/クーポン改修),6,false,2026-09-10T15:37,2026-09-10T16:00,unknown,unknown,unknown,"作業中断: claude-in-chrome接続先Chromeが1台→2台に増え選択必須となり、AskUserQuestion不可のサブエージェントのため親に差し戻し。反映(公開)はまだ未実施。登録済み6件(ジャンル追加/サブコピー/一言/クーポン改称3件/新規クーポン1件)は全て店舗footer(H000822241)を都度確認済みで誤院保存なし。詳細はdata/proposals/ahaki-page-copy/01_本八幡南口鍼灸接骨院.mdの実装ログ参照。"
2026-09-10,南流山駅前整骨院,H000485906,感謝祭クーポン新規作成(登録のみ・未反映),1,no,2026-09-10T16:00,2026-09-10T16:26,NA,NA,NA,直営ブランド共通テンプレート(都賀駅前・南柏駅前で確認済み)を流用。クーポン名「9/17・9/18限定★感謝祭★本格骨格矯正+指圧etc(計30分)無料体験¥0」有効期限2026-09-18。バナー画像は栗林さん提供(画像ID:C062449545)。反映は栗林さんの明示的承認待ち。
2026-09-10,下総中山駅前整骨院,H000498853,感謝祭クーポン新規作成(登録のみ・未反映),1,no,2026-09-10T16:00,2026-09-10T16:30,NA,NA,NA,南流山と同一テンプレート。クーポン名「9/14・9/15限定★感謝祭★本格骨格矯正+指圧etc(計30分)無料体験¥0」有効期限2026-09-15。店舗から依頼が遅く「最短掲載希望」とのことで急ぎ対応。バナー画像は栗林さん提供(画像ID:C062449627)。反映は栗林さんの明示的承認待ち。
2026-09-10,ライフガーデン茂原鍼灸整骨院,H000822239,掲載管理>サロン>ジャンル設定に「エステ」を追加,1,false,2026-09-10T18:10,2026-09-10T18:25,unknown,unknown,unknown,"ジャンル欄3番目(未選択)にエステを追加、登録(下書き保存)。既存の鍼灸/リラクゼーションは不変更。footer店舗名(H000822239)を都度確認、保存後リロードしてエステ残存を確認済み。反映(公開)は未実施(スコープ外、都度承認が必要なため)。"
2026-09-10,新潟関屋鍼灸整骨院,H000822243,掲載管理>サロン>ジャンル設定に「エステ」を追加,1,false,2026-09-10T18:10,2026-09-10T18:25,unknown,unknown,unknown,"ジャンル欄4番目(未選択)にエステを追加、登録(下書き保存)。既存の鍼灸/リラクゼーション/接骨・整骨は不変更。footer店舗名(H000822243)を都度確認、保存後リロードしてエステ残存を確認済み。反映(公開)は未実施。"
2026-09-10,新静岡駅前鍼灸接骨院,H000822244,掲載管理>サロン>ジャンル設定に「エステ」を追加,1,false,2026-09-10T18:10,2026-09-10T18:25,unknown,unknown,unknown,"ジャンル欄5番目(未選択)にエステを追加。1回目は登録ボタン押下時に「サロンが選択されていません」エラーで保存失敗(未反映のまま消失、他院への誤保存なし)。サロン一覧から入り直し再実施し成功。footer店舗名(H000822244)を都度確認、保存後リロードしてエステ残存を確認済み。反映(公開)は未実施。"
2026-09-10,八幡宿駅西口鍼灸接骨院,H000822247,掲載管理>サロン>ジャンル設定に「エステ」を追加,1,false,2026-09-10T18:10,2026-09-10T18:25,unknown,unknown,unknown,"ジャンル欄5番目(未選択)にエステを追加、登録(下書き保存)。既存の鍼灸/リラクゼーション/整体・カイロプラクティック・矯正/接骨・整骨は不変更。footer店舗名(H000822247)を都度確認、保存後リロードしてエステ残存を確認済み。反映(公開)は未実施。"
2026-09-10,本八幡南口鍼灸接骨院,H000822241,掲載管理>サロン>ジャンル設定「エステ」追加の確認のみ(前回セッションで登録済み),0,false,2026-09-10T18:10,2026-09-10T18:25,unknown,unknown,unknown,"前回セッション(task-suspended.csv参照)で既にジャンル4番目にエステが登録済みだったため、今回は変更を加えず状態確認のみ。反映(公開)は未実施。"
